date,Team_1,Team_2,winner,Margin,Ground
2008-04-19,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,33 runs,Chandigarh
2008-04-23,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,6 runs,Chennai
2008-04-26,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,9 wickets,Chennai
2008-04-28,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,13 runs,Bangalore
2008-05-08,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,4 wickets,Delhi
2008-05-10,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,18 runs,Chennai
2008-05-18,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,3 runs,Kolkata
2008-05-27,Deccan Chargers,Chennai Super Kings,Chennai Super Kings,7 wickets,Hyderabad
2008-05-31,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,9 wickets,Mumbai
2009-04-20,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,92 runs,Port Elizabeth
2009-04-30,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,38 runs,Centurion
2009-05-02,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,18 runs,Johannesburg
2009-05-04,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,78 runs,East London
2009-05-07,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,12 runs,Centurion
2009-05-09,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,7 wickets,Kimberley
2009-05-16,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,7 wickets,Port Elizabeth
2009-05-20,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,24 runs,Durban
2010-03-16,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,55 runs,Kolkata
2010-03-19,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,5 wickets,Delhi
2010-03-31,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,5 wickets,Chennai
2010-04-03,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,23 runs,Chennai
2010-04-06,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,24 runs,Chennai
2010-04-13,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,9 wickets,Chennai
2010-04-18,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,6 wickets,Dharamsala
2010-04-22,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,38 runs,Mumbai
2010-04-25,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,22 runs,Mumbai
2011-04-08,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,2 runs,Chennai
2011-04-16,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,21 runs,Chennai
2011-04-25,Chennai Super Kings,Pune Warriors,Chennai Super Kings,25 runs,Chennai
2011-04-27,Pune Warriors,Chennai Super Kings,Chennai Super Kings,8 wickets,Mumbai
2011-05-01,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,19 runs,Chennai
2011-05-04,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,8 wickets,Chennai
2011-05-09,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,63 runs,Jaipur
2011-05-12,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,18 runs,Chennai
2011-05-18,Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,11 runs,Chennai
2011-05-24,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,6 wickets,Mumbai
2011-05-28,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,58 runs,Chennai
2012-04-07,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,74 runs,Visakhapatnam
2012-04-12,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,5 wickets,Chennai
2012-04-19,Chennai Super Kings,Pune Warriors,Chennai Super Kings,13 runs,Chennai
2012-04-21,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,7 wickets,Chennai
2012-05-04,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,10 runs,Chennai
2012-05-10,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,4 wickets,Jaipur
2012-05-12,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,9 wickets,Chennai
2012-05-14,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,5 wickets,Kolkata
2012-05-23,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,38 runs,Bangalore
2012-05-25,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,86 runs,Chennai
2013-04-10,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,10 wickets,Chandigarh
2013-04-13,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,4 wickets,Chennai
2013-04-18,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,86 runs,Delhi
2013-04-20,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,4 wickets,Kolkata
2013-04-22,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,5 wickets,Chennai
2013-04-25,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,5 wickets,Chennai
2013-04-28,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,14 runs,Chennai
2013-04-30,Chennai Super Kings,Pune Warriors,Chennai Super Kings,37 runs,Pune
2013-05-02,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,15 runs,Chennai
2013-05-08,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,77 runs,Hyderabad
2013-05-14,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,33 runs,Chennai
2013-05-21,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,48 runs,Delhi
2014-04-21,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,93 runs,Abu Dhabi
2014-04-23,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,7 runs,Dubai
2014-04-25,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,7 wickets,Dubai
2014-04-27,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,5 wickets,Sharjah
2014-05-02,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,34 runs,Ranchi
2014-05-05,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,0 runs,Delhi
2014-05-10,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,4 wickets,Mumbai
2014-05-13,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,5 wickets,Ranchi
2014-05-24,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,8 wickets,Bangalore
2014-05-28,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,7 wickets,Mumbai
2015-04-09,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,1 runs,Chennai
2015-04-11,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,45 runs,Chennai
2015-04-17,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,6 wickets,Mumbai
2015-04-22,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,27 runs,Bangalore
2015-04-25,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,97 runs,Chennai
2015-04-28,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,2 runs,Chennai
